TRAP,createdBy,Timestamp,MoundID,Date,Type,AllNotes,Source,DescriptionOfMoundOrLocale,LU_Around,LU_Top,PositionInTheLandscape,Prominence,Latitude,Longitude,Northing,Easting,Accuracy,FacingDirectionForPhoto,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,DamageNotes,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
8501,Petra Janouchova,2018-09-10 07:12:53.205 GMT,8501,2018-09-10,Burial Mound,"1, 2",Legacy verification,NA,Annual agriculture,Scrub,Upper slope,High,42.14638567,26.6515482,4666088.215,471208.2672,3,Northwest,5,35,4,35,NA,Loose artefacts,"pottery, probably EIA",No,EIA,files/server/b2af18b4-40be-4e2f-b229-7f35b344471f_image-1536562471641.original.jpg,2 - minor damage,,Looting,agriculture around,2 - good,Not available,Unknown,"01,square,2,1.5,0.5,manually excavated shallow trench;02,overgrown;03,overgrown;04,overgrown",NA,files/server/0b6b419d-9ffd-4a6b-95e2-cad528f1eef8_image-1536563110679.original.jpg - files/server/8b961e0e-e0d4-48f7-89d5-f827f91b0d64_image-1536563242413.original.jpg,POINT(471208.26722 4666088.214715)
8502,Petra Janouchova,2018-09-10 07:29:47.177 GMT,8502,2018-09-10,Burial Mound,"military lookout and tank embankment s, long ditch, ext no 5,grassland",Legacy verification,NA,Pasture,Pasture,Hilltop,Super prominent,42.14586071,26.6586575,4666027.555,471795.4599,3,Northeast,4,45,3.5,40,NA,Standing features in vicinity,NA,No,NA,NA,2 - minor damage,,Looting,military activity,3 - impaired,Looting,Unknown,"01,square,3,2,1,manually excavated trench (originally deeper)","ext photo from the mound, no 7, facing SW, no 8 facing NE, no 9 facing SW with Bara",files/app/91f52ff3-4c05-4774-989f-bd87d6c6b794_image-1536565814843.original.jpg - files/app/b0b01244-b35e-4029-846d-2079fe565b6a_image-1536565456853.original.jpg (ext photo 6),POINT(471795.459919 4666027.555172)
8503,Petra Janouchova,2018-09-10 08:02:33.162 GMT,8503,2018-09-10,Uncertain Feature,"hardly recognisable earthen structure on the hilltop, maybe a mound)?,ext 12 and 13 facing sw,grassland,unmeasurable",Legacy verification,"hilltop elevated terrain, but the mound is not visible in the field",Pasture,Pasture,Hilltop,High,42.14655727,26.661989,4666103.801,472071.0423,3,Southwest,0,0,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,,No observation,NA,1 - full,Not available,Not relevant,"NA",NA,NA,POINT(472071.042284 4666103.800692)
8504,Petra Janouchova,2018-09-10 08:31:06.321 GMT,8504,2018-09-10,Burial Mound,ext 14,Legacy verification,NA,Annual agriculture,Annual agriculture,Hilltop,Super prominent,42.14398104,26.66451044,4665816.935,472278.2585,3,North,2,45,1.5,40,NA,Other,"standing worked local white stone, maybe marble, inner part of the chamber, dimensions on the paper drawing",No,NA,files/app/8aa488f2-1e8a-4959-b76e-1722baf9aad2_image-1536569298504.original.jpg (ext 20) - files/app/c9aa9fd5-08a5-4d3e-83e0-51cc6608a43f_image-1536568873761.original.jpg (ext 15-19),4 - seriously damaged,,Agriculture,looting - maybe,4 - minimal,Agriculture,Unknown,"NA","no visible RT, but huge worked stone found on the surface near the mound in the field, probably ploughed over, chamber is apparently destroyed",NA,POINT(472278.258547 4665816.935)
8505,Petra Janouchova,2018-09-10 09:10:04.058 GMT,8505,2018-09-10,Burial Mound,ext 27,Legacy verification,NA,Scrub,Scrub,Valley Bottom or Plain,Super prominent,42.1465127,26.67365053,4666095.103,473034.5861,3,South,6,60,6,55,NA,NA,NA,No,NA,NA,2 - minor damage,,Looting,NA,2 - good,Looting,Unknown,"01,square,4,3,1.5,manually excavated trench;02,rectangle,8,1,0.2,manually excavated shallow trench","long trench going s-n direction, trench on the top",files/app/958f495e-c2f9-4236-83c1-3e7c2218c66b_image-1536571204878.original.jpg (ext 29) - files/app/b91d66f5-b4cf-4048-b8e8-1fe189e8201f_image-1536571331668.original.jpg,POINT(473034.586108 4666095.102688)
8506,Petra Janouchova,2018-09-10 09:31:01.525 GMT,8506,2018-09-10,Burial Mound,"plateau on the top, limestone filling from the mound building, ext 33,explain in notes,excavated in the middle",Legacy verification,"Tumulus excavated by Daniela Agreement in 2005, LBA burials",Pasture,Other,Valley Bottom or Plain,Super prominent,42.14610273,26.67511096,4666049.123,473155.0847,3,West,4,60,3,55,NA,Loose artefacts - Bones - Other,"excavated by Daniela Agreement, two burials with pots, encroached individuals",No,LBA,NA,4 - seriously damaged,"already excavated),specify in Annotation (excavation),2005",Excavation,NA,5 - none or nearly none,Other,Other,NA,"ext 34, excavated from the middle (bulldozed);no real RT, all material redeposited by machinery into 4 piles, see sketch",files/app/808a49f8-bcca-4d25-bf24-527fd8f9fe7f_image-1536572462774.original.jpg - files/app/925b6917-25a5-418b-95b7-2b916c063578_image-1536572258558.original.jpg - files/app/a29d8a79-277b-4821-b4fb-62f68f8e6585_image-1536572490581.original.jpg,POINT(473155.084704 4666049.123031)
8507,Petra Janouchova,2018-09-10 10:01:29.302 GMT,8507,2018-09-10,Burial Mound,"ext 38,excavated in the middle, recheck on the satellite",Legacy verification,"Golyamata Mogula, excavated by Agre in 2005",Annual agriculture,Scrub,Valley Bottom or Plain,Super prominent,42.14533436,26.68614267,4665960.4,474066.2994,3,East,15,120,NA,60,excavated through,Artefact scatter - Loose artefacts - Other,"Thasos amphorae, 380-370 BC",No,NA,NA,4 - seriously damaged,"specify in Annotation (excavation),2005",Excavation,NA,5 - none or nearly none,Other,Other,NA,"excavated; no real RT, all material redeposited by machinery into piles with huge ''trench'' in the middle (at least 60% of the mound)",files/app/54558bad-7795-489f-8993-e813ab2e8544_image-1536574371734.original.jpg,POINT(474066.299383 4665960.399645)
8508,Petra Janouchova,2018-09-10 10:17:49.157 GMT,8508,2018-09-10,Burial Mound,"ext 42,grassland",Legacy verification,NA,Annual agriculture,Pasture,Valley Bottom or Plain,Medium,42.14494793,26.68711579,4665917.199,474146.5496,3,West,1.5,35,1,30,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Looting,NA,4 - minimal,Looting,Unknown,"01,square,3,2,0.5,manually excavated shallow trench;02,square,3,3,1,manually excavated trench",NA,files/app/19d6496e-5580-487f-957b-862415754223_image-1536575206925.original.jpg - files/app/51be90b3-cf42-43ac-b938-bd84d13c2442_image-1536575064858.original.jpg,POINT(474146.54958 4665917.198778)
8509,Petra Janouchova,2018-09-10 10:40:44.749 GMT,8509,2018-09-10,Burial Mound,ext 45,Legacy verification,NA,Pasture,Annual agriculture,Valley Bottom or Plain,High,42.14529303,26.69447051,4665953.315,474754.4038,3,North,5,80,2,75,NA,NA,NA,No,NA,NA,2 - minor damage,,Looting,NA,2 - good,Looting,Unknown,"01,unknown,5,2,0.5,manually excavated trench",NA,files/app/e26eb07d-7898-4ae9-a878-e2d7321c1ae3_image-1536576201159.original.jpg,POINT(474754.403777 4665953.315111)
8510,Petra Janouchova,2018-09-10 10:55:07.711 GMT,8510,2018-09-10,Burial Mound,"ext 49,grassland",Legacy verification,NA,Annual agriculture,Pasture,Valley Bottom or Plain,Super prominent,42.14679999,26.69502744,4666120.471,474801.0208,3,North,4.5,40,3,35,NA,NA,NA,No,NA,NA,2 - minor damage,specify in Annotation (military activity),Looting,NA,2 - good,Other,Unknown,"NA",concrete slabs on the top,files/app/bb35b727-71c2-492c-bae1-2f41906b79f8_image-1536577223920.original.jpg,POINT(474801.020791 4666120.470967)
